item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,dominant_factor,item_id_meta,selected_order,pair_id,question_id,split,ordering,difficulty_meta,gold,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi,judge_pair_scores
claude_4_opus:abc321_e:110:fwd,10.21674633026123,11.852498054504395,-10.21674633026123,-1.4687021970748901,factor_1,claude_4_opus:abc321_e:110:fwd,1728,claude_4_opus:abc321_e:110,abc321_e,claude_4_opus,fwd,hard,A,5.663226127624512,5.661143779754639,0.7566556930541992,22.948341369628906,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
qwen3_235b:3587:60:bwd,10.158394813537598,11.794146537780762,-10.158394813537598,2.230001449584961,factor_1,qwen3_235b:3587:60:bwd,1460,qwen3_235b:3587:60,3587,qwen3_235b,bwd,hard,B,6.788084506988525,6.785366058349609,-1.5051708221435547,25.093463897705078,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
claude_4_opus:abc396_g:184:bwd,10.107437133789062,11.743188858032227,-10.107437133789062,5.852537631988525,factor_1,claude_4_opus:abc396_g:184:bwd,1802,claude_4_opus:abc396_g:184,abc396_g,claude_4_opus,bwd,hard,B,1.509278655052185,1.510853886604309,8.781915664672852,14.704462051391602,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}"
claude_4_sonnet:3697:106:fwd,9.903019905090332,11.538771629333496,-9.903019905090332,-3.748678684234619,factor_1,claude_4_sonnet:3697:106:fwd,1924,claude_4_sonnet:3697:106,3697,claude_4_sonnet,fwd,hard,A,9.728120803833008,9.72385025024414,-7.519974708557129,30.597518920898438,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
claude_4_opus:3229:20:bwd,9.830945014953613,11.466696739196777,-9.830945014953613,2.1590805053710938,factor_1,claude_4_opus:3229:20:bwd,1638,claude_4_opus:3229:20,3229,claude_4_opus,bwd,hard,B,6.273632049560547,6.271200180053711,-0.8248558044433594,23.758249282836914,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
qwen3_235b:3482:44:bwd,9.774988174438477,11.41073989868164,-9.774988174438477,2.149744749069214,factor_1,qwen3_235b:3482:44:bwd,1444,qwen3_235b:3482:44,3482,qwen3_235b,bwd,hard,B,6.1903076171875,6.187922954559326,-0.7175893783569336,23.53907012939453,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash_lite:3697:141:fwd,9.670002937316895,11.305754661560059,-9.670002937316895,-3.654755115509033,factor_1,gemini_2.5_flash_lite:3697:141:fwd,1152,gemini_2.5_flash_lite:3697:141,3697,gemini_2.5_flash_lite,fwd,hard,A,9.17239761352539,9.168413162231445,-6.664336204528809,29.27584457397461,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash:3528:61:fwd,9.600213050842285,11.23596477508545,-9.600213050842285,-3.627180337905884,factor_1,gemini_2.5_flash:3528:61:fwd,642,gemini_2.5_flash:3528:61,3528,gemini_2.5_flash,fwd,hard,A,9.01053524017334,9.006633758544922,-6.417037010192871,28.888965606689453,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash_lite:abc356_e:267:fwd,9.580316543579102,11.216068267822266,-9.580316543579102,-1.3807381391525269,factor_1,gemini_2.5_flash_lite:abc356_e:267:fwd,1278,gemini_2.5_flash_lite:abc356_e:267,abc356_e,gemini_2.5_flash_lite,fwd,hard,A,5.006039142608643,5.004349708557129,1.4075422286987305,21.024593353271484,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash:3394:44:bwd,9.476520538330078,11.112272262573242,-9.476520538330078,4.258310317993164,factor_1,gemini_2.5_flash:3394:44:bwd,625,gemini_2.5_flash:3394:44,3394,gemini_2.5_flash,bwd,hard,B,1.6520172357559204,1.6533266305923462,7.87175178527832,14.352792739868164,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
claude_4_opus:3080:15:fwd,9.381418228149414,11.017169952392578,-9.381418228149414,-3.5433456897735596,factor_1,claude_4_opus:3080:15:fwd,1633,claude_4_opus:3080:15,3080,claude_4_opus,fwd,hard,A,8.51587200164795,8.512228012084961,-5.666797637939453,27.70113754272461,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash:abc389_f:268:bwd,9.274972915649414,10.910724639892578,-9.274972915649414,5.383796691894531,factor_1,gemini_2.5_flash:abc389_f:268:bwd,849,gemini_2.5_flash:abc389_f:268,abc389_f,gemini_2.5_flash,bwd,easy,B,1.4859764575958252,1.4875986576080322,7.995031356811523,13.826417922973633,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}"
gemini_2.5_flash_lite:3363:66:bwd,9.224472045898438,10.860223770141602,-9.224472045898438,5.34687614440918,factor_1,gemini_2.5_flash_lite:3363:66:bwd,1077,gemini_2.5_flash_lite:3363:66,3363,gemini_2.5_flash_lite,bwd,hard,B,1.4835151433944702,1.4851423501968384,7.949344635009766,13.771102905273438,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}"
gemini_2.5_flash_lite:3658:131:fwd,9.18786334991455,10.823615074157715,-9.18786334991455,-1.3269362449645996,factor_1,gemini_2.5_flash_lite:3658:131:fwd,1142,gemini_2.5_flash_lite:3658:131,3658,gemini_2.5_flash_lite,fwd,hard,A,4.640914440155029,4.639452934265137,1.7302875518798828,19.916942596435547,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash:3437:50:bwd,9.157031059265137,10.7927827835083,-9.157031059265137,5.30784273147583,factor_1,gemini_2.5_flash:3437:50:bwd,631,gemini_2.5_flash:3437:50,3437,gemini_2.5_flash,bwd,medium,B,1.4814337491989136,1.4830652475357056,7.885974884033203,13.699590682983398,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}"
claude_4_opus:abc326_d:117:fwd,9.13637638092041,10.772128105163574,-9.13637638092041,-3.4481329917907715,factor_1,claude_4_opus:abc326_d:117:fwd,1735,claude_4_opus:abc326_d:117,abc326_d,claude_4_opus,fwd,hard,A,7.994504928588867,7.991135597229004,-4.890498161315918,26.43475341796875,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
claude_4_sonnet:1883_B:0:fwd,9.089577674865723,10.725329399108887,-9.089577674865723,-3.425610065460205,factor_1,claude_4_sonnet:1883_B:0:fwd,1818,claude_4_sonnet:1883_B:0,1883_B,claude_4_sonnet,fwd,hard,A,7.903871536254883,7.900550365447998,-4.759749412536621,26.210407257080078,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash:3717:104:fwd,9.023055076599121,10.658806800842285,-9.023055076599121,-3.403019905090332,factor_1,gemini_2.5_flash:3717:104:fwd,685,gemini_2.5_flash:3717:104,3717,gemini_2.5_flash,fwd,hard,A,7.765052795410156,7.761805057525635,-4.5543317794799805,25.871944427490234,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash:abc353_e:383:bwd,8.970962524414062,10.606714248657227,-8.970962524414062,5.20164680480957,factor_1,gemini_2.5_flash:abc353_e:383:bwd,964,gemini_2.5_flash:abc353_e:383,abc353_e,gemini_2.5_flash,bwd,medium,B,1.4758020639419556,1.477445125579834,7.710921764373779,13.502506256103516,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}"
gemini_2.5_flash:3329:36:fwd,8.897510528564453,10.533262252807617,-8.897510528564453,-1.2865839004516602,factor_1,gemini_2.5_flash:3329:36:fwd,617,gemini_2.5_flash:3329:36,3329,gemini_2.5_flash,fwd,hard,A,4.3885674476623535,4.387269020080566,1.9342145919799805,19.132308959960938,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
claude_3.7_sonnet:arc189_c:323:bwd,8.785828590393066,10.42158031463623,-8.785828590393066,7.788517475128174,factor_1,claude_3.7_sonnet:arc189_c:323:bwd,323,claude_3.7_sonnet:arc189_c:323,arc189_c,claude_3.7_sonnet,bwd,hard,B,4.391409873962402,4.390110015869141,1.8169641494750977,19.026195526123047,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 1.0, 'qwen3_5_27b': 1.0}"
gemini_2.5_flash:abc390_d:270:fwd,8.77360725402832,10.409358978271484,-8.77360725402832,-3.2979066371917725,factor_1,gemini_2.5_flash:abc390_d:270:fwd,851,gemini_2.5_flash:abc390_d:270,abc390_d,gemini_2.5_flash,fwd,hard,A,7.2859344482421875,7.282944679260254,-3.8652124404907227,24.683929443359375,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
claude_4_sonnet:abc307_c:135:bwd,8.705296516418457,10.341048240661621,-8.705296516418457,7.71807336807251,factor_1,claude_4_sonnet:abc307_c:135:bwd,1953,claude_4_sonnet:abc307_c:135,abc307_c,claude_4_sonnet,bwd,hard,B,4.32047700881958,4.319223880767822,1.8753690719604492,18.80672836303711,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 1.0, 'qwen3_5_27b': 1.0}"
qwen3_235b:2921:9:bwd,8.668529510498047,10.304281234741211,-8.668529510498047,7.6635050773620605,factor_1,qwen3_235b:2921:9:bwd,1409,qwen3_235b:2921:9,2921,qwen3_235b,bwd,medium,B,4.267426490783691,4.266208171844482,1.9425134658813477,18.66604995727539,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 1.0, 'qwen3_5_27b': 1.0}"
claude_3.7_sonnet:abc341_b:278:bwd,8.638516426086426,10.27426815032959,-8.638516426086426,7.735045909881592,factor_1,claude_3.7_sonnet:abc341_b:278:bwd,278,claude_3.7_sonnet:abc341_b:278,abc341_b,claude_3.7_sonnet,bwd,easy,B,4.324619293212891,4.323363304138184,1.80047607421875,18.74806022644043,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 1.0, 'qwen3_5_27b': 1.0}"
gemini_2.5_flash:3696:99:fwd,8.532170295715332,10.167922019958496,-8.532170295715332,-8.328810691833496,factor_1,gemini_2.5_flash:3696:99:fwd,680,gemini_2.5_flash:3696:99,3696,gemini_2.5_flash,fwd,hard,A,3.1466152667999268,3.146219253540039,4.0013322830200195,16.334510803222656,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 0.0, 'mistral_14b': 1.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash_lite:abc346_d:250:fwd,8.456401824951172,10.092153549194336,-8.456401824951172,-3.1930394172668457,factor_1,gemini_2.5_flash_lite:abc346_d:250:fwd,1261,gemini_2.5_flash_lite:abc346_d:250,abc346_d,gemini_2.5_flash_lite,fwd,medium,A,6.694307327270508,6.691640377044678,-3.0234622955322266,23.2077693939209,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
