item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,loading_factor_2,dominant_factor,item_id_meta,selected_order,pair_id,question_id,split,ordering,difficulty_meta,gold,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi,judge_pair_scores
qwen3_235b:3548:50:fwd,11.550804138183594,12.964900016784668,-11.550804138183594,1.5242773294448853,1.5935015678405762,factor_2,qwen3_235b:3548:50:fwd,1450,qwen3_235b:3548:50,3548,qwen3_235b,fwd,hard,A,1.6322497129440308,1.6360294818878174,9.758281707763672,16.171518325805664,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash_lite:3363:66:bwd,11.543627738952637,12.957723617553711,-11.543627738952637,-11.04526138305664,-2.0552031993865967,factor_1,gemini_2.5_flash_lite:3363:66:bwd,1077,gemini_2.5_flash_lite:3363:66,3363,gemini_2.5_flash_lite,bwd,hard,B,4.908154010772705,4.907336235046387,3.339344024658203,22.57610321044922,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}"
gemini_2.5_flash:3786:363:fwd,10.511253356933594,11.925349235534668,-10.511253356933594,1.8246008157730103,2.865748882293701,factor_2,gemini_2.5_flash:3786:363:fwd,944,gemini_2.5_flash:3786:363,3786,gemini_2.5_flash,fwd,hard,A,3.4736766815185547,3.474167823791504,5.11598014831543,18.734718322753906,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash_lite:3720:148:fwd,10.239689826965332,11.653785705566406,-10.239689826965332,2.8079049587249756,-0.7976581454277039,factor_1,gemini_2.5_flash_lite:3720:148:fwd,1159,gemini_2.5_flash_lite:3720:148,3720,gemini_2.5_flash_lite,fwd,hard,A,1.553606629371643,1.557653784751892,8.600784301757812,14.706787109375,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 1.0, 'mistral_14b': 1.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
claude_4_opus:abc387_c:173:fwd,10.233403205871582,11.647499084472656,-10.233403205871582,1.3630125522613525,1.4097681045532227,factor_2,claude_4_opus:abc387_c:173:fwd,1791,claude_4_opus:abc387_c:173,abc387_c,claude_4_opus,fwd,hard,A,1.5458691120147705,1.5499438047409058,8.609609603881836,14.685388565063477,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash:abc348_d:188:fwd,10.024882316589355,11.43897819519043,-10.024882316589355,1.7442760467529297,2.7177608013153076,factor_2,gemini_2.5_flash:abc348_d:188:fwd,769,gemini_2.5_flash:abc348_d:188,abc348_d,gemini_2.5_flash,fwd,hard,A,3.232368230819702,3.2331337928771973,5.102035999298096,17.775920867919922,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash:abc386_e:259:bwd,9.842011451721191,11.256107330322266,-9.842011451721191,2.7542479038238525,-5.111772060394287,factor_2,gemini_2.5_flash:abc386_e:259:bwd,840,gemini_2.5_flash:abc386_e:259,abc386_e,gemini_2.5_flash,bwd,hard,B,3.600520610809326,3.6008758544921875,4.198390483856201,18.313823699951172,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'mistral_14b': 1.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash:abc394_g:421:bwd,9.05698299407959,10.471078872680664,-9.05698299407959,-8.583451271057129,-1.662180781364441,factor_1,gemini_2.5_flash:abc394_g:421:bwd,1002,gemini_2.5_flash:abc394_g:421,abc394_g,gemini_2.5_flash,bwd,hard,B,3.248540163040161,3.249286651611328,4.102477073669434,16.839679718017578,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}"
qwen3_235b:3690:76:fwd,8.874170303344727,10.2882661819458,-8.874170303344727,1.1961619853973389,1.219752311706543,factor_2,qwen3_235b:3690:76:fwd,1476,qwen3_235b:3690:76,3690,qwen3_235b,fwd,hard,A,1.4611698389053345,1.4655627012252808,7.415762901306152,13.16076946258545,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash:abc382_f:248:bwd,8.752943992614746,10.16703987121582,-8.752943992614746,-1.1056787967681885,-2.1187992095947266,factor_2,gemini_2.5_flash:abc382_f:248:bwd,829,gemini_2.5_flash:abc382_f:248,abc382_f,gemini_2.5_flash,bwd,hard,B,8.982139587402344,8.978696823120117,-7.431205749511719,27.76528549194336,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
qwen3_235b:3771:96:bwd,8.510992050170898,9.925087928771973,-8.510992050170898,-0.8772779107093811,-2.1823480129241943,factor_2,qwen3_235b:3771:96:bwd,1496,qwen3_235b:3771:96,3771,qwen3_235b,bwd,medium,B,8.081023216247559,8.07810115814209,-5.907990455627441,25.758167266845703,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash_lite:abc399_f:378:fwd,8.157744407653809,9.571840286254883,-8.157744407653809,1.454048991203308,2.3540260791778564,factor_2,gemini_2.5_flash_lite:abc399_f:378:fwd,1389,gemini_2.5_flash_lite:abc399_f:378,abc399_f,gemini_2.5_flash_lite,fwd,easy,A,2.524702310562134,2.52644944190979,4.619999408721924,14.523681640625,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
claude_3.7_sonnet:abc333_c:272:fwd,7.934000015258789,9.348095893859863,-7.934000015258789,1.0803241729736328,1.085931658744812,factor_2,claude_3.7_sonnet:abc333_c:272:fwd,272,claude_3.7_sonnet:abc333_c:272,abc333_c,claude_3.7_sonnet,fwd,easy,A,1.403029203414917,1.4076597690582275,6.589082717895508,12.107109069824219,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash:2839:6:fwd,7.924648284912109,9.338744163513184,-7.924648284912109,2.187196969985962,-0.5966473817825317,factor_1,gemini_2.5_flash:2839:6:fwd,587,gemini_2.5_flash:2839:6,2839,gemini_2.5_flash,fwd,hard,A,1.365739107131958,1.370531439781189,6.652502536773682,12.024986267089844,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 1.0, 'mistral_14b': 1.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
claude_4_opus:arc189_d:192:fwd,7.892828941345215,9.306924819946289,-7.892828941345215,2.178762674331665,-0.5938590168952942,factor_1,claude_4_opus:arc189_d:192:fwd,1810,claude_4_opus:arc189_d:192,arc189_d,claude_4_opus,fwd,medium,A,1.3635104894638062,1.3683128356933594,6.625031471252441,11.988818168640137,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 1.0, 'mistral_14b': 1.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash_lite:abc385_d:347:bwd,7.7513427734375,9.165438652038574,-7.7513427734375,-1.0463354587554932,-1.8346006870269775,factor_2,gemini_2.5_flash_lite:abc385_d:347:bwd,1358,gemini_2.5_flash_lite:abc385_d:347,abc385_d,gemini_2.5_flash_lite,bwd,hard,B,6.649107456207275,6.647064685821533,-3.8628082275390625,22.19368553161621,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_pro:3658:48:bwd,7.697538375854492,9.111634254455566,-7.697538375854492,-2.7142393589019775,-0.26631107926368713,factor_1,gemini_2.5_pro:3658:48:bwd,373,gemini_2.5_pro:3658:48,3658,gemini_2.5_pro,bwd,hard,B,5.425800323486328,5.424592018127441,-1.5205659866333008,19.74383544921875,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash_lite:abc338_c:237:bwd,7.6928253173828125,9.106921195983887,-7.6928253173828125,-1.1394152641296387,-1.7556211948394775,factor_2,gemini_2.5_flash_lite:abc338_c:237:bwd,1248,gemini_2.5_flash_lite:abc338_c:237,abc338_c,gemini_2.5_flash_lite,bwd,hard,B,6.583104610443115,6.581104278564453,-3.792043685913086,22.00588607788086,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash_lite:abc334_c:228:fwd,7.659840106964111,9.073935508728027,-7.659840106964111,3.730217218399048,0.8950163722038269,factor_1,gemini_2.5_flash_lite:abc334_c:228:fwd,1239,gemini_2.5_flash_lite:abc334_c:228,abc334_c,gemini_2.5_flash_lite,fwd,easy,A,35.25189971923828,35.23534393310547,-59.987335205078125,78.13520812988281,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 1.0, 'mistral_14b': 1.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash:2920:12:bwd,7.6105265617370605,9.024621963500977,-7.6105265617370605,-6.964240550994873,-1.4621670246124268,factor_1,gemini_2.5_flash:2920:12:bwd,593,gemini_2.5_flash:2920:12,2920,gemini_2.5_flash,bwd,medium,B,2.5240817070007324,2.525829792022705,4.073995590209961,13.975248336791992,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}"
claude_4_opus:abc364_c:149:bwd,7.561312198638916,8.975407600402832,-7.561312198638916,-0.8979998826980591,-1.8668972253799438,factor_2,claude_4_opus:abc364_c:149:bwd,1767,claude_4_opus:abc364_c:149,abc364_c,claude_4_opus,bwd,hard,B,6.176790237426758,6.175057411193848,-3.1277055740356445,21.078521728515625,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
claude_3.7_sonnet:abc363_d:142:bwd,7.4966654777526855,8.910760879516602,-7.4966654777526855,-1.03719961643219,-1.7546820640563965,factor_2,claude_3.7_sonnet:abc363_d:142:bwd,142,claude_3.7_sonnet:abc363_d:142,abc363_d,claude_3.7_sonnet,bwd,medium,B,6.158051013946533,6.1563310623168945,-3.1556482315063477,20.977169036865234,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
claude_3.7_sonnet:abc396_g:170:bwd,7.352538108825684,8.766633987426758,-7.352538108825684,-1.054692268371582,-5.762264728546143,factor_2,claude_3.7_sonnet:abc396_g:170:bwd,170,claude_3.7_sonnet:abc396_g:170,abc396_g,claude_3.7_sonnet,bwd,medium,B,2.194247245788574,2.1965949535369873,4.461308002471924,13.07196044921875,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 1.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_pro:abc392_f:166:fwd,7.27032995223999,8.684425354003906,-7.27032995223999,4.643285751342773,-1.4825198650360107,factor_1,gemini_2.5_pro:abc392_f:166:fwd,491,gemini_2.5_pro:abc392_f:166,abc392_f,gemini_2.5_pro,fwd,hard,A,13.694968223571777,13.688998222351074,-18.146011352539062,35.514862060546875,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 1.0, 'mistral_14b': 1.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash_lite:abc330_e:224:bwd,7.0779900550842285,8.492085456848145,-7.0779900550842285,-0.9222711324691772,-1.703112244606018,factor_2,gemini_2.5_flash_lite:abc330_e:224:bwd,1235,gemini_2.5_flash_lite:abc330_e:224,abc330_e,gemini_2.5_flash_lite,bwd,hard,B,5.37583589553833,5.374664306640625,-2.0422563552856445,19.02642822265625,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
qwen3_235b:3091:14:bwd,7.077897548675537,8.491992950439453,-7.077897548675537,-1.0999242067337036,-1.596106767654419,factor_2,qwen3_235b:3091:14:bwd,1414,qwen3_235b:3091:14,3091,qwen3_235b,bwd,hard,B,5.4365105628967285,5.4352946281433105,-2.161184310913086,19.145170211791992,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
claude_3.7_sonnet:3184:21:fwd,7.069648265838623,8.483743667602539,-7.069648265838623,3.67008113861084,0.40293723344802856,factor_1,claude_3.7_sonnet:3184:21:fwd,21,claude_3.7_sonnet:3184:21,3184,claude_3.7_sonnet,fwd,medium,A,24.893369674682617,24.8818302154541,-40.284645080566406,57.25212860107422,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 1.0, 'mistral_14b': 1.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash:2877:10:bwd,7.034735202789307,8.448830604553223,-7.034735202789307,-6.651993751525879,-1.3414210081100464,factor_1,gemini_2.5_flash:2877:10:bwd,591,gemini_2.5_flash:2877:10,2877,gemini_2.5_flash,bwd,hard,B,2.388228416442871,2.3902087211608887,3.764021396636963,13.13364028930664,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}"
gemini_2.5_flash:arc193_a:299:fwd,7.01812219619751,8.432217597961426,-7.01812219619751,3.4067938327789307,1.200408935546875,factor_1,gemini_2.5_flash:arc193_a:299:fwd,880,gemini_2.5_flash:arc193_a:299,arc193_a,gemini_2.5_flash,fwd,hard,A,26.790281295776367,26.777816772460938,-44.05230712890625,60.91674041748047,"{'claude_haiku_4_5': 0.0, 'mistral_3b': None, 'mistral_8b': 1.0, 'mistral_14b': 1.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash:abc364_a:393:bwd,7.002675533294678,8.416770935058594,-7.002675533294678,-6.571384906768799,-1.338819980621338,factor_1,gemini_2.5_flash:abc364_a:393:bwd,974,gemini_2.5_flash:abc364_a:393,abc364_a,gemini_2.5_flash,bwd,easy,B,2.364215612411499,2.366239070892334,3.778942108154297,13.05459976196289,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}"
gemini_2.5_flash:abc338_d:178:fwd,6.889305114746094,8.303400993347168,-6.889305114746094,3.231105327606201,1.2476756572723389,factor_1,gemini_2.5_flash:abc338_d:178:fwd,759,gemini_2.5_flash:abc338_d:178,abc338_d,gemini_2.5_flash,fwd,hard,A,24.026145935058594,24.01502799987793,-38.76605224609375,55.37285614013672,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 1.0, 'mistral_14b': 1.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash_lite:abc322_d:212:bwd,6.857489585876465,8.271585464477539,-6.857489585876465,-0.9458085894584656,-1.622924566268921,factor_2,gemini_2.5_flash_lite:abc322_d:212:bwd,1223,gemini_2.5_flash_lite:abc322_d:212,abc322_d,gemini_2.5_flash_lite,bwd,hard,B,5.043961524963379,5.043038368225098,-1.6127700805664062,18.155941009521484,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
