item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,loading_factor_2,dominant_factor,item_id_meta,selected_order,pair_id,question_id,split,ordering,difficulty_meta,gold,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi
claude_3.7_sonnet:abc333_c:272:fwd,7.934,9.348096,-7.934,1.0803242,1.0859317,factor_2,claude_3.7_sonnet:abc333_c:272:fwd,272,claude_3.7_sonnet:abc333_c:272,abc333_c,claude_3.7_sonnet,fwd,easy,A,1.4030292,1.4076598,6.5890827,12.107109
gemini_2.5_flash:2839:6:fwd,7.9246483,9.338744,-7.9246483,2.187197,-0.5966474,factor_1,gemini_2.5_flash:2839:6:fwd,587,gemini_2.5_flash:2839:6,2839,gemini_2.5_flash,fwd,hard,A,1.3657391,1.3705314,6.6525025,12.024986
claude_4_opus:arc189_d:192:fwd,7.892829,9.306925,-7.892829,2.1787627,-0.593859,factor_1,claude_4_opus:arc189_d:192:fwd,1810,claude_4_opus:arc189_d:192,arc189_d,claude_4_opus,fwd,medium,A,1.3635105,1.3683128,6.6250315,11.988818
gemini_2.5_flash_lite:abc385_d:347:bwd,7.751343,9.165439,-7.751343,-1.0463355,-1.8346007,factor_2,gemini_2.5_flash_lite:abc385_d:347:bwd,1358,gemini_2.5_flash_lite:abc385_d:347,abc385_d,gemini_2.5_flash_lite,bwd,hard,B,6.6491075,6.6470647,-3.8628082,22.193686
gemini_2.5_pro:3658:48:bwd,7.6975384,9.111634,-7.6975384,-2.7142394,-0.26631108,factor_1,gemini_2.5_pro:3658:48:bwd,373,gemini_2.5_pro:3658:48,3658,gemini_2.5_pro,bwd,hard,B,5.4258003,5.424592,-1.520566,19.743835
gemini_2.5_flash_lite:abc338_c:237:bwd,7.6928253,9.106921,-7.6928253,-1.1394153,-1.7556212,factor_2,gemini_2.5_flash_lite:abc338_c:237:bwd,1248,gemini_2.5_flash_lite:abc338_c:237,abc338_c,gemini_2.5_flash_lite,bwd,hard,B,6.5831046,6.5811043,-3.7920437,22.005886
gemini_2.5_flash_lite:abc334_c:228:fwd,7.65984,9.0739355,-7.65984,3.7302172,0.8950164,factor_1,gemini_2.5_flash_lite:abc334_c:228:fwd,1239,gemini_2.5_flash_lite:abc334_c:228,abc334_c,gemini_2.5_flash_lite,fwd,easy,A,35.2519,35.235344,-59.987335,78.13521
gemini_2.5_flash:2920:12:bwd,7.6105266,9.024622,-7.6105266,-6.9642406,-1.462167,factor_1,gemini_2.5_flash:2920:12:bwd,593,gemini_2.5_flash:2920:12,2920,gemini_2.5_flash,bwd,medium,B,2.5240817,2.5258298,4.0739956,13.975248
claude_4_opus:abc364_c:149:bwd,7.561312,8.975408,-7.561312,-0.8979999,-1.8668972,factor_2,claude_4_opus:abc364_c:149:bwd,1767,claude_4_opus:abc364_c:149,abc364_c,claude_4_opus,bwd,hard,B,6.17679,6.1750574,-3.1277056,21.078522
claude_3.7_sonnet:abc363_d:142:bwd,7.4966655,8.910761,-7.4966655,-1.0371996,-1.7546821,factor_2,claude_3.7_sonnet:abc363_d:142:bwd,142,claude_3.7_sonnet:abc363_d:142,abc363_d,claude_3.7_sonnet,bwd,medium,B,6.158051,6.156331,-3.1556482,20.977169
claude_3.7_sonnet:abc396_g:170:bwd,7.352538,8.766634,-7.352538,-1.0546923,-5.7622647,factor_2,claude_3.7_sonnet:abc396_g:170:bwd,170,claude_3.7_sonnet:abc396_g:170,abc396_g,claude_3.7_sonnet,bwd,medium,B,2.1942472,2.196595,4.461308,13.07196
gemini_2.5_pro:abc392_f:166:fwd,7.27033,8.684425,-7.27033,4.6432858,-1.4825199,factor_1,gemini_2.5_pro:abc392_f:166:fwd,491,gemini_2.5_pro:abc392_f:166,abc392_f,gemini_2.5_pro,fwd,hard,A,13.694968,13.688998,-18.146011,35.514862
gemini_2.5_flash_lite:abc330_e:224:bwd,7.07799,8.492085,-7.07799,-0.92227113,-1.7031122,factor_2,gemini_2.5_flash_lite:abc330_e:224:bwd,1235,gemini_2.5_flash_lite:abc330_e:224,abc330_e,gemini_2.5_flash_lite,bwd,hard,B,5.375836,5.3746643,-2.0422564,19.026428
qwen3_235b:3091:14:bwd,7.0778975,8.491993,-7.0778975,-1.0999242,-1.5961068,factor_2,qwen3_235b:3091:14:bwd,1414,qwen3_235b:3091:14,3091,qwen3_235b,bwd,hard,B,5.4365106,5.4352946,-2.1611843,19.14517
claude_3.7_sonnet:3184:21:fwd,7.0696483,8.483744,-7.0696483,3.6700811,0.40293723,factor_1,claude_3.7_sonnet:3184:21:fwd,21,claude_3.7_sonnet:3184:21,3184,claude_3.7_sonnet,fwd,medium,A,24.89337,24.88183,-40.284645,57.25213
gemini_2.5_flash:2877:10:bwd,7.034735,8.448831,-7.034735,-6.6519938,-1.341421,factor_1,gemini_2.5_flash:2877:10:bwd,591,gemini_2.5_flash:2877:10,2877,gemini_2.5_flash,bwd,hard,B,2.3882284,2.3902087,3.7640214,13.13364
gemini_2.5_flash:arc193_a:299:fwd,7.018122,8.432218,-7.018122,3.4067938,1.2004089,factor_1,gemini_2.5_flash:arc193_a:299:fwd,880,gemini_2.5_flash:arc193_a:299,arc193_a,gemini_2.5_flash,fwd,hard,A,26.790281,26.777817,-44.052307,60.91674
gemini_2.5_flash:abc364_a:393:bwd,7.0026755,8.416771,-7.0026755,-6.571385,-1.33882,factor_1,gemini_2.5_flash:abc364_a:393:bwd,974,gemini_2.5_flash:abc364_a:393,abc364_a,gemini_2.5_flash,bwd,easy,B,2.3642156,2.366239,3.778942,13.0546
gemini_2.5_flash:abc338_d:178:fwd,6.889305,8.303401,-6.889305,3.2311053,1.2476757,factor_1,gemini_2.5_flash:abc338_d:178:fwd,759,gemini_2.5_flash:abc338_d:178,abc338_d,gemini_2.5_flash,fwd,hard,A,24.026146,24.015028,-38.766052,55.372856
gemini_2.5_flash_lite:abc322_d:212:bwd,6.8574896,8.271585,-6.8574896,-0.9458086,-1.6229246,factor_2,gemini_2.5_flash_lite:abc322_d:212:bwd,1223,gemini_2.5_flash_lite:abc322_d:212,abc322_d,gemini_2.5_flash_lite,bwd,hard,B,5.0439615,5.0430384,-1.6127701,18.155941
claude_3.7_sonnet:3588:237:fwd,6.849922,8.264018,-6.849922,3.0894918,1.2494366,factor_1,claude_3.7_sonnet:3588:237:fwd,237,claude_3.7_sonnet:3588:237,3588,claude_3.7_sonnet,fwd,easy,A,21.656158,21.646202,-34.162537,50.690575
claude_4_sonnet:3714:108:fwd,6.845702,8.259798,-6.845702,3.212766,-2.6041918,factor_1,claude_4_sonnet:3714:108:fwd,1926,claude_4_sonnet:3714:108,3714,claude_4_sonnet,fwd,hard,A,3.5026596,3.503119,1.3936849,15.125912
claude_4_sonnet:abc386_d:247:bwd,6.844675,8.258771,-6.844675,-0.9515581,-1.6155045,factor_2,claude_4_sonnet:abc386_d:247:bwd,2065,claude_4_sonnet:abc386_d:247,abc386_d,claude_4_sonnet,bwd,hard,B,5.0267067,5.025797,-1.5917912,18.109333
claude_4_opus:abc374_e:157:fwd,6.834161,8.248257,-6.834161,0.9435676,0.9338539,factor_1,claude_4_opus:abc374_e:157:fwd,1775,claude_4_opus:abc374_e:157,abc374_e,claude_4_opus,fwd,hard,A,1.3341881,1.3391237,5.6235743,10.872939
gemini_2.5_flash:abc389_f:268:bwd,6.8224688,8.236565,-6.8224688,-6.268814,-1.3287088,factor_1,gemini_2.5_flash:abc389_f:268:bwd,849,gemini_2.5_flash:abc389_f:268,abc389_f,gemini_2.5_flash,bwd,easy,B,2.2687943,2.2709951,3.7854142,12.687716
gemini_2.5_pro:abc370_a:236:bwd,6.780066,8.194161,-6.780066,-6.2155595,-1.3227457,factor_1,gemini_2.5_pro:abc370_a:236:bwd,561,gemini_2.5_pro:abc370_a:236,abc370_a,gemini_2.5_pro,bwd,hard,B,2.2512836,2.2535183,3.7772655,12.611057
gemini_2.5_flash:abc396_d:279:bwd,6.7370415,8.151137,-6.7370415,-6.3707657,-1.2910093,factor_1,gemini_2.5_flash:abc396_d:279:bwd,860,gemini_2.5_flash:abc396_d:279,abc396_d,gemini_2.5_flash,bwd,hard,B,2.2883446,2.2905083,3.6617413,12.640533
gemini_2.5_flash_lite:abc328_e:223:bwd,6.724311,8.138407,-6.724311,-6.706862,-1.2651352,factor_1,gemini_2.5_flash_lite:abc328_e:223:bwd,1234,gemini_2.5_flash_lite:abc328_e:223,abc328_e,gemini_2.5_flash_lite,bwd,hard,B,2.3408642,2.34293,3.5462637,12.73055
claude_4_sonnet:3032:23:fwd,6.702076,8.116172,-6.702076,3.52824,1.1054755,factor_1,claude_4_sonnet:3032:23:fwd,1841,claude_4_sonnet:3032:23,3032,claude_4_sonnet,fwd,hard,A,23.663612,23.652672,-38.243065,54.47541
gemini_2.5_flash_lite:3771:162:fwd,6.64147,8.055566,-6.64147,0.5174941,5.0257406,factor_2,gemini_2.5_flash_lite:3771:162:fwd,1173,gemini_2.5_flash_lite:3771:162,3771,gemini_2.5_flash_lite,fwd,hard,A,12.345213,12.339944,-16.130726,32.241856
claude_3.7_sonnet:arc194_e:182:bwd,6.635527,8.049623,-6.635527,-0.9691318,-5.17777,factor_2,claude_3.7_sonnet:arc194_e:182:bwd,182,claude_3.7_sonnet:arc194_e:182,arc194_e,claude_3.7_sonnet,bwd,medium,B,2.0127861,2.0155253,4.0991926,12.000052
claude_3.7_sonnet:2920:13:fwd,6.558906,7.9730015,-6.558906,1.2004273,1.9696758,factor_2,claude_3.7_sonnet:2920:13:fwd,13,claude_3.7_sonnet:2920:13,2920,claude_3.7_sonnet,fwd,easy,A,2.0684736,2.0710871,3.9136705,12.032332
gemini_2.5_flash:abc318_d:154:fwd,6.5401874,7.9542828,-6.5401874,4.1311307,-1.345813,factor_1,gemini_2.5_flash:abc318_d:154:fwd,735,gemini_2.5_flash:abc318_d:154,abc318_d,gemini_2.5_flash,fwd,hard,A,9.667326,9.663499,-10.986176,26.894741
gemini_2.5_flash:abc368_e:399:fwd,6.423767,7.8378625,-6.423767,3.157406,2.3474,factor_1,gemini_2.5_flash:abc368_e:399:fwd,980,gemini_2.5_flash:abc368_e:399,abc368_e,gemini_2.5_flash,fwd,medium,A,22.26449,22.254234,-35.780437,51.456165
qwen3_235b:3587:60:bwd,6.419334,7.8334293,-6.419334,-2.4427786,-0.13455339,factor_1,qwen3_235b:3587:60:bwd,1460,qwen3_235b:3587:60,3587,qwen3_235b,bwd,hard,B,3.889888,3.889952,0.20912361,15.457735
gemini_2.5_flash:3453:52:bwd,6.4037924,7.817888,-6.4037924,-6.121696,-1.23686,factor_1,gemini_2.5_flash:3453:52:bwd,633,gemini_2.5_flash:3453:52,3453,gemini_2.5_flash,bwd,hard,B,2.199194,2.2015316,3.5028858,12.13289
gemini_2.5_flash_lite:abc358_d:271:bwd,6.356212,7.7703075,-6.356212,-0.8621072,-1.5188451,factor_2,gemini_2.5_flash_lite:abc358_d:271:bwd,1282,gemini_2.5_flash_lite:abc358_d:271,abc358_d,gemini_2.5_flash_lite,bwd,hard,B,4.311973,4.311649,-0.6805248,16.22114
gemini_2.5_flash_lite:3498:93:bwd,6.334336,7.748431,-6.334336,2.606953,-7.120264,factor_2,gemini_2.5_flash_lite:3498:93:bwd,1104,gemini_2.5_flash_lite:3498:93,3498,gemini_2.5_flash_lite,bwd,easy,B,4.7040997,4.703445,-1.4703207,16.967182
claude_3.7_sonnet:3794:247:fwd,6.320111,7.734206,-6.320111,0.5532632,4.4251895,factor_2,claude_3.7_sonnet:3794:247:fwd,247,claude_3.7_sonnet:3794:247,3794,claude_3.7_sonnet,fwd,medium,A,8.846479,8.843114,-9.598298,25.066711
claude_3.7_sonnet:3494:54:fwd,6.302061,7.7161565,-6.302061,1.1594609,1.9043993,factor_2,claude_3.7_sonnet:3494:54:fwd,54,claude_3.7_sonnet:3494:54,3494,claude_3.7_sonnet,fwd,medium,A,2.0071084,2.0098608,3.7768292,11.655483
gemini_2.5_flash:abc367_e:215:fwd,6.2846527,7.698748,-6.2846527,3.0550635,2.734142,factor_1,gemini_2.5_flash:abc367_e:215:fwd,796,gemini_2.5_flash:abc367_e:215,abc367_e,gemini_2.5_flash,fwd,hard,A,20.66961,20.66014,-32.795124,48.192623
gemini_2.5_flash_lite:abc328_b:222:bwd,6.2814193,7.6955147,-6.2814193,-6.0926337,-1.2108192,factor_1,gemini_2.5_flash_lite:abc328_b:222:bwd,1233,gemini_2.5_flash_lite:abc328_b:222,abc328_b,gemini_2.5_flash_lite,bwd,hard,B,2.1780725,2.1804528,3.4218268,11.969202
claude_3.7_sonnet:abc385_e:308:bwd,6.2707005,7.684796,-6.2707005,2.5874412,-6.980999,factor_2,claude_3.7_sonnet:abc385_e:308:bwd,308,claude_3.7_sonnet:abc385_e:308,abc385_e,claude_3.7_sonnet,bwd,hard,B,4.5280137,4.5275044,-1.1891131,16.558704
qwen3_235b:3697:79:fwd,6.265564,7.6796594,-6.265564,0.049870476,-0.9439501,factor_2,qwen3_235b:3697:79:fwd,1479,qwen3_235b:3697:79,3697,qwen3_235b,fwd,hard,A,1.9461006,1.9489979,3.8596234,11.499695
qwen3_235b:3552:52:fwd,6.231626,7.6457214,-6.231626,3.9013464,-1.2687457,factor_1,qwen3_235b:3552:52:fwd,1452,qwen3_235b:3552:52,3552,qwen3_235b,fwd,hard,A,8.228593,8.225584,-8.476423,23.767866
claude_3.7_sonnet:3777:88:fwd,6.2212443,7.6353397,-6.2212443,0.8669841,0.84615135,factor_1,claude_3.7_sonnet:3777:88:fwd,88,claude_3.7_sonnet:3777:88,3777,claude_3.7_sonnet,fwd,hard,A,1.2944193,1.2995441,5.088233,10.1824465
gemini_2.5_flash:abc353_e:383:bwd,6.2010713,7.6151667,-6.2010713,-5.8559175,-1.2081189,factor_1,gemini_2.5_flash:abc353_e:383:bwd,964,gemini_2.5_flash:abc353_e:383,abc353_e,gemini_2.5_flash,bwd,medium,B,2.1231806,2.1256754,3.4488425,11.78149
claude_3.7_sonnet:3381:217:bwd,6.147256,7.5613513,-6.147256,-0.9191307,-4.8313184,factor_2,claude_3.7_sonnet:3381:217:bwd,217,claude_3.7_sonnet:3381:217,3381,claude_3.7_sonnet,bwd,hard,B,1.9099597,1.9129463,3.8119764,11.310726
claude_3.7_sonnet:3558:236:bwd,6.144313,7.5584083,-6.144313,-5.687712,-1.213942,factor_1,claude_3.7_sonnet:3558:236:bwd,236,claude_3.7_sonnet:3558:236,3558,claude_3.7_sonnet,bwd,medium,B,2.081937,2.0845208,3.4727473,11.64407
qwen3_235b:abc341_c:132:fwd,6.1208277,7.534923,-6.1208277,1.1256626,1.8183384,factor_2,qwen3_235b:abc341_c:132:fwd,1532,qwen3_235b:abc341_c:132,abc341_c,qwen3_235b,fwd,medium,A,1.9601731,1.9630364,3.6873717,11.382475
qwen3_235b:3607:64:fwd,6.0697045,7.4838,-6.0697045,3.8412244,-1.255994,factor_1,qwen3_235b:3607:64:fwd,1464,qwen3_235b:3607:64,3607,qwen3_235b,fwd,medium,A,7.868133,7.8653374,-7.9322615,22.89986
claude_4_sonnet:abc384_f:244:bwd,6.016581,7.4306765,-6.016581,-5.522529,-1.1988579,factor_1,claude_4_sonnet:abc384_f:244:bwd,2062,claude_4_sonnet:abc384_f:244,abc384_f,claude_4_sonnet,bwd,hard,B,2.036052,2.038738,3.4347498,11.426603
gemini_2.5_flash:3518:347:fwd,6.0060163,7.4201117,-6.0060163,3.306121,1.2225696,factor_1,gemini_2.5_flash:3518:347:fwd,928,gemini_2.5_flash:3518:347,3518,gemini_2.5_flash,fwd,hard,A,17.393671,17.385826,-26.656109,41.496334
qwen3_235b:3423:35:fwd,5.9642677,7.378363,-5.9642677,3.1052892,-2.6513264,factor_1,qwen3_235b:3423:35:fwd,1435,qwen3_235b:3423:35,3423,qwen3_235b,fwd,medium,A,2.958433,2.9595418,1.577661,13.179066
qwen3_235b:3791:103:fwd,5.947416,7.361511,-5.947416,4.216604,-1.2976134,factor_1,qwen3_235b:3791:103:fwd,1503,qwen3_235b:3791:103,3791,qwen3_235b,fwd,hard,A,8.741746,8.73844,-9.765831,24.488853
gemini_2.5_pro:abc380_d:144:bwd,5.9418983,7.3559937,-5.9418983,-2.2148724,-0.14406133,factor_1,gemini_2.5_pro:abc380_d:144:bwd,469,gemini_2.5_pro:abc380_d:144,abc380_d,gemini_2.5_pro,bwd,hard,B,3.3856719,3.3862605,0.7189231,13.993065
claude_4_opus:3453:39:bwd,5.9371963,7.3512917,-5.9371963,-0.90947586,0.9311925,factor_2,claude_4_opus:3453:39:bwd,1657,claude_4_opus:3453:39,3453,claude_4_opus,bwd,hard,B,9.6304,9.626593,-11.51683,26.219414
gemini_2.5_flash_lite:3387:70:fwd,5.908034,7.3221292,-5.908034,0.42353976,4.6586127,factor_2,gemini_2.5_flash_lite:3387:70:fwd,1081,gemini_2.5_flash_lite:3387:70,3387,gemini_2.5_flash_lite,fwd,hard,A,9.843153,9.839228,-11.962758,26.607018
gemini_2.5_flash:abc361_f:207:bwd,5.904188,7.3182836,-5.904188,-0.8273395,-1.4104658,factor_2,gemini_2.5_flash:abc361_f:207:bwd,788,gemini_2.5_flash:abc361_f:207,abc361_f,gemini_2.5_flash,bwd,hard,B,3.756314,3.7565093,-0.0444746,14.681042
qwen3_235b:3765:94:fwd,5.8324633,7.2465587,-5.8324633,4.119266,-1.2934881,factor_1,qwen3_235b:3765:94:fwd,1494,qwen3_235b:3765:94,3765,qwen3_235b,fwd,hard,A,8.298717,8.295667,-9.012947,23.506065
qwen3_235b:3308:27:bwd,5.7892714,7.2033668,-5.7892714,-2.2356985,-0.103335164,factor_1,qwen3_235b:3308:27:bwd,1427,qwen3_235b:3308:27,3308,qwen3_235b,bwd,hard,B,3.2778842,3.2785964,0.7773175,13.6294155
gemini_2.5_flash_lite:3535:100:bwd,5.7849464,7.199042,-5.7849464,-0.8740561,-1.3508562,factor_2,gemini_2.5_flash_lite:3535:100:bwd,1111,gemini_2.5_flash_lite:3535:100,3535,gemini_2.5_flash_lite,bwd,medium,B,3.6281443,3.6284707,0.087239265,14.310844
qwen3_235b:3725:84:fwd,5.7796674,7.193763,-5.7796674,4.2065997,-1.2983884,factor_1,qwen3_235b:3725:84:fwd,1484,qwen3_235b:3725:84,3725,qwen3_235b,fwd,hard,A,8.269644,8.266611,-9.008796,23.39632
gemini_2.5_flash:abc301_b:364:fwd,5.7733145,7.18741,-5.7733145,2.9097688,1.5246028,factor_1,gemini_2.5_flash:abc301_b:364:fwd,945,gemini_2.5_flash:abc301_b:364,abc301_b,gemini_2.5_flash,fwd,easy,A,15.51978,15.512878,-23.217833,37.59265
gemini_2.5_pro:abc345_d:100:bwd,5.75883,7.1729255,-5.75883,-2.243649,-0.09255935,factor_1,gemini_2.5_pro:abc345_d:100:bwd,425,gemini_2.5_pro:abc345_d:100,abc345_d,gemini_2.5_pro,bwd,hard,B,3.2559223,3.2566602,0.7898712,13.55598
qwen3_235b:3265:25:fwd,5.7332993,7.1473947,-5.7332993,5.0851955,-1.3268806,factor_1,qwen3_235b:3265:25:fwd,1425,qwen3_235b:3265:25,3265,qwen3_235b,fwd,hard,A,8.390587,8.387484,-9.292074,23.586863
gemini_2.5_pro:3776:69:fwd,5.724575,7.1386704,-5.724575,4.7461634,-1.3215344,factor_1,gemini_2.5_pro:3776:69:fwd,394,gemini_2.5_pro:3776:69,3776,gemini_2.5_pro,fwd,hard,A,8.346954,8.343876,-9.215326,23.492666
claude_4_sonnet:arc192_a:279:fwd,5.694293,7.1083884,-5.694293,-0.8686594,0.8879718,factor_2,claude_4_sonnet:arc192_a:279:fwd,2097,claude_4_sonnet:arc192_a:279,arc192_a,claude_4_sonnet,fwd,hard,A,8.511956,8.508782,-9.568825,23.785603
qwen3_235b:abc381_d:171:bwd,5.6524324,7.066528,-5.6524324,0.07225835,-5.0994387,factor_2,qwen3_235b:abc381_d:171:bwd,1571,qwen3_235b:abc381_d:171,abc381_d,qwen3_235b,bwd,hard,B,2.2394488,2.2417066,2.672783,11.460273
gemini_2.5_flash:abc374_f:404:bwd,5.6468616,7.060957,-5.6468616,-0.86721754,-1.3160697,factor_2,gemini_2.5_flash:abc374_f:404:bwd,985,gemini_2.5_flash:abc374_f:404,abc374_f,gemini_2.5_flash,bwd,hard,B,3.4770563,3.4775436,0.24497128,13.876943
gemini_2.5_pro:abc384_g:242:bwd,5.6423383,7.0564337,-5.6423383,-0.8541162,-1.321499,factor_2,gemini_2.5_pro:abc384_g:242:bwd,567,gemini_2.5_pro:abc384_g:242,abc384_g,gemini_2.5_pro,bwd,hard,B,3.4718318,3.4723248,0.25067663,13.86219
qwen3_235b:abc384_f:180:bwd,5.637247,7.0513425,-5.637247,5.1356115,-6.9620066,factor_2,qwen3_235b:abc384_f:180:bwd,1580,qwen3_235b:abc384_f:180,abc384_f,qwen3_235b,bwd,medium,B,3.3798175,3.3804126,0.42573357,13.676951
gemini_2.5_pro:3690:54:fwd,5.6303077,7.044403,-5.6303077,3.220146,1.3944628,factor_1,gemini_2.5_pro:3690:54:fwd,379,gemini_2.5_pro:3690:54,3690,gemini_2.5_pro,fwd,hard,A,14.948269,14.941657,-22.241245,36.33005
