item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,dominant_factor,item_id_meta,selected_order,pair_id,question_id,split,ordering,difficulty_meta,gold,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi
gemini_2.5_flash_lite:3363:66:bwd,9.224472,10.860224,-9.224472,5.346876,factor_1,gemini_2.5_flash_lite:3363:66:bwd,1077,gemini_2.5_flash_lite:3363:66,3363,gemini_2.5_flash_lite,bwd,hard,B,1.4835151,1.4851424,7.9493446,13.771103
gemini_2.5_flash_lite:3658:131:fwd,9.187863,10.823615,-9.187863,-1.3269362,factor_1,gemini_2.5_flash_lite:3658:131:fwd,1142,gemini_2.5_flash_lite:3658:131,3658,gemini_2.5_flash_lite,fwd,hard,A,4.6409144,4.639453,1.7302876,19.916943
gemini_2.5_flash:3437:50:bwd,9.157031,10.792783,-9.157031,5.3078427,factor_1,gemini_2.5_flash:3437:50:bwd,631,gemini_2.5_flash:3437:50,3437,gemini_2.5_flash,bwd,medium,B,1.4814337,1.4830652,7.885975,13.699591
claude_4_opus:abc326_d:117:fwd,9.136376,10.772128,-9.136376,-3.448133,factor_1,claude_4_opus:abc326_d:117:fwd,1735,claude_4_opus:abc326_d:117,abc326_d,claude_4_opus,fwd,hard,A,7.994505,7.9911356,-4.890498,26.434753
claude_4_sonnet:1883_B:0:fwd,9.089578,10.725329,-9.089578,-3.42561,factor_1,claude_4_sonnet:1883_B:0:fwd,1818,claude_4_sonnet:1883_B:0,1883_B,claude_4_sonnet,fwd,hard,A,7.9038715,7.9005504,-4.7597494,26.210407
gemini_2.5_flash:3717:104:fwd,9.023055,10.658807,-9.023055,-3.40302,factor_1,gemini_2.5_flash:3717:104:fwd,685,gemini_2.5_flash:3717:104,3717,gemini_2.5_flash,fwd,hard,A,7.765053,7.761805,-4.554332,25.871944
gemini_2.5_flash:abc353_e:383:bwd,8.970963,10.606714,-8.970963,5.201647,factor_1,gemini_2.5_flash:abc353_e:383:bwd,964,gemini_2.5_flash:abc353_e:383,abc353_e,gemini_2.5_flash,bwd,medium,B,1.4758021,1.4774451,7.710922,13.502506
gemini_2.5_flash:3329:36:fwd,8.897511,10.533262,-8.897511,-1.2865839,factor_1,gemini_2.5_flash:3329:36:fwd,617,gemini_2.5_flash:3329:36,3329,gemini_2.5_flash,fwd,hard,A,4.3885674,4.387269,1.9342146,19.132309
claude_3.7_sonnet:arc189_c:323:bwd,8.785829,10.42158,-8.785829,7.7885175,factor_1,claude_3.7_sonnet:arc189_c:323:bwd,323,claude_3.7_sonnet:arc189_c:323,arc189_c,claude_3.7_sonnet,bwd,hard,B,4.39141,4.39011,1.8169641,19.026196
gemini_2.5_flash:abc390_d:270:fwd,8.773607,10.409359,-8.773607,-3.2979066,factor_1,gemini_2.5_flash:abc390_d:270:fwd,851,gemini_2.5_flash:abc390_d:270,abc390_d,gemini_2.5_flash,fwd,hard,A,7.2859344,7.2829447,-3.8652124,24.68393
claude_4_sonnet:abc307_c:135:bwd,8.7052965,10.341048,-8.7052965,7.7180734,factor_1,claude_4_sonnet:abc307_c:135:bwd,1953,claude_4_sonnet:abc307_c:135,abc307_c,claude_4_sonnet,bwd,hard,B,4.320477,4.319224,1.8753691,18.806728
qwen3_235b:2921:9:bwd,8.6685295,10.304281,-8.6685295,7.663505,factor_1,qwen3_235b:2921:9:bwd,1409,qwen3_235b:2921:9,2921,qwen3_235b,bwd,medium,B,4.2674265,4.266208,1.9425135,18.66605
claude_3.7_sonnet:abc341_b:278:bwd,8.638516,10.274268,-8.638516,7.735046,factor_1,claude_3.7_sonnet:abc341_b:278:bwd,278,claude_3.7_sonnet:abc341_b:278,abc341_b,claude_3.7_sonnet,bwd,easy,B,4.3246193,4.3233633,1.8004761,18.74806
gemini_2.5_flash:3696:99:fwd,8.53217,10.167922,-8.53217,-8.328811,factor_1,gemini_2.5_flash:3696:99:fwd,680,gemini_2.5_flash:3696:99,3696,gemini_2.5_flash,fwd,hard,A,3.1466153,3.1462193,4.0013323,16.33451
gemini_2.5_flash_lite:abc346_d:250:fwd,8.456402,10.092154,-8.456402,-3.1930394,factor_1,gemini_2.5_flash_lite:abc346_d:250:fwd,1261,gemini_2.5_flash_lite:abc346_d:250,abc346_d,gemini_2.5_flash_lite,fwd,medium,A,6.6943073,6.6916404,-3.0234623,23.20777
gemini_2.5_pro:abc380_d:144:bwd,8.454857,10.090609,-8.454857,1.8652207,factor_1,gemini_2.5_pro:abc380_d:144:bwd,469,gemini_2.5_pro:abc380_d:144,abc380_d,gemini_2.5_pro,bwd,hard,B,4.5004163,4.4990454,1.272479,18.908737
claude_4_sonnet:abc377_f:231:bwd,8.4446,10.080352,-8.4446,4.8927655,factor_1,claude_4_sonnet:abc377_f:231:bwd,2049,claude_4_sonnet:abc377_f:231,abc377_f,claude_4_sonnet,bwd,hard,B,1.4581822,1.4598619,7.2190228,12.941681
gemini_2.5_flash_lite:abc366_e:294:fwd,8.438025,10.073777,-8.438025,-1.223299,factor_1,gemini_2.5_flash_lite:abc366_e:294:fwd,1305,gemini_2.5_flash_lite:abc366_e:294,abc366_e,gemini_2.5_flash_lite,fwd,hard,A,4.018261,4.0172114,2.2000427,17.947512
gemini_2.5_flash_lite:3634:125:bwd,8.430206,10.065958,-8.430206,7.457314,factor_1,gemini_2.5_flash_lite:3634:125:bwd,1136,gemini_2.5_flash_lite:3634:125,3634,gemini_2.5_flash_lite,bwd,hard,B,4.069024,4.0679398,2.0927958,18.03912
qwen3_235b:1883_B:0:bwd,8.4123535,10.048105,-8.4123535,7.5145144,factor_1,qwen3_235b:1883_B:0:bwd,1400,qwen3_235b:1883_B:0,1883_B,qwen3_235b,bwd,hard,B,4.115756,4.1146398,1.9834108,18.1128
gemini_2.5_flash:3224:327:fwd,8.357975,9.993727,-8.357975,-3.1528478,factor_1,gemini_2.5_flash:3224:327:fwd,908,gemini_2.5_flash:3224:327,3224,gemini_2.5_flash,fwd,hard,A,6.5265174,6.5239434,-2.7932024,22.780655
gemini_2.5_flash:abc370_d:221:bwd,8.356508,9.99226,-8.356508,7.5274525,factor_1,gemini_2.5_flash:abc370_d:221:bwd,802,gemini_2.5_flash:abc370_d:221,abc370_d,gemini_2.5_flash,bwd,hard,B,4.112447,4.111333,1.9340477,18.050472
claude_4_sonnet:3690:104:fwd,8.340223,9.975975,-8.340223,-3.1505787,factor_1,claude_4_sonnet:3690:104:fwd,1922,claude_4_sonnet:3690:104,3690,claude_4_sonnet,fwd,hard,A,6.4930773,6.4905224,-2.745449,22.6974
claude_4_opus:1883_B:0:fwd,8.309484,9.945235,-8.309484,-3.1169267,factor_1,claude_4_opus:1883_B:0:fwd,1618,claude_4_opus:1883_B:0,1883_B,claude_4_opus,fwd,hard,A,6.4535933,6.4510603,-2.698843,22.589314
gemini_2.5_flash_lite:abc328_b:222:bwd,8.3054,9.941152,-8.3054,4.823867,factor_1,gemini_2.5_flash_lite:abc328_b:222:bwd,1233,gemini_2.5_flash_lite:abc328_b:222,abc328_b,gemini_2.5_flash_lite,bwd,hard,B,1.4549652,1.4566517,7.086114,12.796189
gemini_2.5_pro:arc196_d:255:fwd,8.300005,9.935757,-8.300005,-1.2043036,factor_1,gemini_2.5_pro:arc196_d:255:fwd,580,gemini_2.5_pro:arc196_d:255,arc196_d,gemini_2.5_pro,fwd,hard,A,3.9135244,3.9125478,2.2671628,17.604351
gemini_2.5_flash:abc321_d:370:fwd,8.293634,9.929386,-8.293634,-8.11266,factor_1,gemini_2.5_flash:abc321_d:370:fwd,951,gemini_2.5_flash:abc321_d:370,abc321_d,gemini_2.5_flash,fwd,hard,A,3.043504,3.0431943,3.964725,15.894047
gemini_2.5_flash_lite:abc381_d:335:fwd,8.285912,9.921663,-8.285912,-3.1275554,factor_1,gemini_2.5_flash_lite:abc381_d:335:fwd,1346,gemini_2.5_flash_lite:abc381_d:335,abc381_d,gemini_2.5_flash_lite,fwd,hard,A,6.4033237,6.400819,-2.6239414,22.467268
gemini_2.5_flash:1883_B:1:bwd,8.28347,9.919222,-8.28347,7.3192673,factor_1,gemini_2.5_flash:1883_B:1:bwd,582,gemini_2.5_flash:1883_B:1,1883_B,gemini_2.5_flash,bwd,hard,B,3.9416955,3.9406993,2.1954513,17.642992
claude_4_opus:arc194_e:197:fwd,8.267668,9.9034195,-8.267668,-1.1998532,factor_1,claude_4_opus:arc194_e:197:fwd,1815,claude_4_opus:arc194_e:197,arc194_e,claude_4_opus,fwd,hard,A,3.8893998,3.8884401,2.2820768,17.524761
claude_3.7_sonnet:2854:190:fwd,8.243586,9.879337,-8.243586,-3.0965466,factor_1,claude_3.7_sonnet:2854:190:fwd,190,claude_3.7_sonnet:2854:190,2854,claude_3.7_sonnet,fwd,hard,A,6.3408914,6.3384213,-2.5439692,22.302643
claude_3.7_sonnet:3243:28:bwd,8.230572,9.866323,-8.230572,7.2863703,factor_1,claude_3.7_sonnet:3243:28:bwd,28,claude_3.7_sonnet:3243:28,3243,claude_3.7_sonnet,bwd,hard,B,3.911996,3.9110205,2.2007232,17.531923
qwen3_235b:abc394_c:198:bwd,8.227005,9.862757,-8.227005,7.3971734,factor_1,qwen3_235b:abc394_c:198:bwd,1598,qwen3_235b:abc394_c:198,abc394_c,qwen3_235b,bwd,easy,B,3.9967115,3.995677,2.0312295,17.694284
gemini_2.5_flash:abc383_c:411:bwd,8.210385,9.846137,-8.210385,7.2671595,factor_1,gemini_2.5_flash:abc383_c:411:bwd,992,gemini_2.5_flash:abc383_c:411,abc383_c,gemini_2.5_flash,bwd,hard,B,3.8947754,3.893812,2.2142653,17.478008
gemini_2.5_flash_lite:3233:46:fwd,8.20819,9.843942,-8.20819,-3.0930233,factor_1,gemini_2.5_flash_lite:3233:46:fwd,1057,gemini_2.5_flash_lite:3233:46,3233,gemini_2.5_flash_lite,fwd,hard,A,6.277479,6.2750454,-2.4551477,22.143032
gemini_2.5_pro:3770:67:bwd,8.207742,9.843493,-8.207742,3.670558,factor_1,gemini_2.5_pro:3770:67:bwd,392,gemini_2.5_pro:3770:67,3770,gemini_2.5_pro,bwd,hard,B,1.5297406,1.5312755,6.8421936,12.844793
gemini_2.5_flash_lite:2810:6:bwd,8.191181,9.826933,-8.191181,4.768657,factor_1,gemini_2.5_flash_lite:2810:6:bwd,1017,gemini_2.5_flash_lite:2810:6,2810,gemini_2.5_flash_lite,bwd,hard,B,1.4525359,1.4542274,6.9766474,12.677218
gemini_2.5_flash:3026:319:bwd,8.179919,9.815671,-8.179919,7.464866,factor_1,gemini_2.5_flash:3026:319:bwd,900,gemini_2.5_flash:3026:319,3026,gemini_2.5_flash,bwd,medium,B,4.016844,4.0157957,1.9447112,17.68663
gemini_2.5_flash_lite:3224:44:fwd,8.16141,9.797162,-8.16141,-3.0655482,factor_1,gemini_2.5_flash_lite:3224:44:fwd,1055,gemini_2.5_flash_lite:3224:44,3224,gemini_2.5_flash_lite,fwd,medium,A,6.2053657,6.2029724,-2.3606644,21.954988
gemini_2.5_pro:abc353_e:106:bwd,8.157437,9.793189,-8.157437,1.8023155,factor_1,gemini_2.5_pro:abc353_e:106:bwd,431,gemini_2.5_pro:abc353_e:106,abc353_e,gemini_2.5_pro,bwd,easy,B,4.1879053,4.1867404,1.5871773,17.9992
gemini_2.5_flash:2877:10:bwd,8.156465,9.792216,-8.156465,4.7622037,factor_1,gemini_2.5_flash:2877:10:bwd,591,gemini_2.5_flash:2877:10,2877,gemini_2.5_flash,bwd,hard,B,1.4533215,1.4550115,6.9403934,12.644039
qwen3_235b:3580:59:fwd,8.1506405,9.786392,-8.1506405,-8.028232,factor_1,qwen3_235b:3580:59:fwd,1459,qwen3_235b:3580:59,3580,qwen3_235b,fwd,hard,A,3.0012755,3.0010018,3.9044285,15.668356
claude_4_sonnet:abc341_d:182:bwd,8.114136,9.749887,-8.114136,7.459653,factor_1,claude_4_sonnet:abc341_d:182:bwd,2000,claude_4_sonnet:abc341_d:182,abc341_d,claude_4_sonnet,bwd,hard,B,3.9835157,3.9824903,1.9442062,17.555569
claude_4_sonnet:abc312_f:145:bwd,8.075085,9.710836,-8.075085,7.4529123,factor_1,claude_4_sonnet:abc312_f:145:bwd,1963,claude_4_sonnet:abc312_f:145,abc312_f,claude_4_sonnet,bwd,medium,B,3.9605227,3.9595132,1.9501905,17.471481
gemini_2.5_flash:3584:352:fwd,8.036458,9.67221,-8.036458,-3.0206487,factor_1,gemini_2.5_flash:3584:352:fwd,933,gemini_2.5_flash:3584:352,3584,gemini_2.5_flash,fwd,hard,A,6.003983,6.001704,-2.0911312,21.43555
claude_4_sonnet:abc394_g:259:bwd,8.031377,9.667129,-8.031377,7.1968703,factor_1,claude_4_sonnet:abc394_g:259:bwd,2077,claude_4_sonnet:abc394_g:259,abc394_g,claude_4_sonnet,bwd,medium,B,3.8244362,3.8235226,2.1730242,17.161232
gemini_2.5_flash_lite:abc344_d:247:bwd,8.026593,9.662345,-8.026593,7.176916,factor_1,gemini_2.5_flash_lite:abc344_d:247:bwd,1258,gemini_2.5_flash_lite:abc344_d:247,abc344_d,gemini_2.5_flash_lite,bwd,medium,B,3.8096273,3.8087242,2.1972456,17.127445
claude_4_sonnet:3683:102:bwd,7.990949,9.626701,-7.990949,7.221621,factor_1,claude_4_sonnet:3683:102:bwd,1920,claude_4_sonnet:3683:102,3683,claude_4_sonnet,bwd,hard,B,3.8314998,3.8305812,2.118762,17.13464
gemini_2.5_flash:3573:73:fwd,7.9881363,9.623888,-7.9881363,-7.893088,factor_1,gemini_2.5_flash:3573:73:fwd,654,gemini_2.5_flash:3573:73,3573,gemini_2.5_flash,fwd,hard,A,2.9381285,2.9379096,3.8655849,15.382191
gemini_2.5_flash:3453:52:bwd,7.9136686,9.54942,-7.9136686,4.6143274,factor_1,gemini_2.5_flash:3453:52:bwd,633,gemini_2.5_flash:3453:52,3453,gemini_2.5_flash,bwd,hard,B,1.4436597,1.4453701,6.716495,12.382345
claude_4_sonnet:abc378_f:234:fwd,7.9114094,9.547161,-7.9114094,-2.965837,factor_1,claude_4_sonnet:abc378_f:234:fwd,2052,claude_4_sonnet:abc378_f:234,abc378_f,claude_4_sonnet,fwd,hard,A,5.8112793,5.809111,-1.8386965,20.933018
gemini_2.5_flash_lite:abc391_g:362:fwd,7.875294,9.511046,-7.875294,-1.1465861,factor_1,gemini_2.5_flash_lite:abc391_g:362:fwd,1373,gemini_2.5_flash_lite:abc391_g:362,abc391_g,gemini_2.5_flash_lite,fwd,hard,A,3.60904,3.608283,2.4388113,16.583282
claude_4_sonnet:abc380_b:238:bwd,7.866344,9.502096,-7.866344,7.005236,factor_1,claude_4_sonnet:abc380_b:238:bwd,2056,claude_4_sonnet:abc380_b:238,abc380_b,claude_4_sonnet,bwd,easy,B,3.666577,3.6657777,2.3171716,16.687021
gemini_2.5_flash:3423:341:fwd,7.8657284,9.50148,-7.8657284,-7.7761836,factor_1,gemini_2.5_flash:3423:341:fwd,922,gemini_2.5_flash:3423:341,3423,gemini_2.5_flash,fwd,hard,A,2.8865588,2.8863854,3.8441644,15.158796
qwen3_235b:3154:16:bwd,7.861322,9.497074,-7.861322,7.0794215,factor_1,qwen3_235b:3154:16:bwd,1416,qwen3_235b:3154:16,3154,qwen3_235b,bwd,hard,B,3.7173116,3.7164752,2.2127824,16.781366
claude_4_sonnet:abc335_d:176:bwd,7.8484025,9.484155,-7.8484025,6.993533,factor_1,claude_4_sonnet:abc335_d:176:bwd,1994,claude_4_sonnet:abc335_d:176,abc335_d,claude_4_sonnet,bwd,hard,B,3.6565223,3.6557302,2.3189235,16.649385
gemini_2.5_flash_lite:3605:118:bwd,7.844558,9.4803095,-7.844558,7.2023244,factor_1,gemini_2.5_flash_lite:3605:118:bwd,1129,gemini_2.5_flash_lite:3605:118,3605,gemini_2.5_flash_lite,bwd,medium,B,3.7711241,3.770249,2.0906215,16.869997
claude_4_sonnet:abc394_c:257:bwd,7.838484,9.474236,-7.838484,6.993898,factor_1,claude_4_sonnet:abc394_c:257:bwd,2075,claude_4_sonnet:abc394_c:257,abc394_c,claude_4_sonnet,bwd,medium,B,3.6560645,3.6552727,2.3099008,16.63857
gemini_2.5_flash:3376:43:bwd,7.835612,9.471364,-7.835612,7.137718,factor_1,gemini_2.5_flash:3376:43:bwd,624,gemini_2.5_flash:3376:43,3376,gemini_2.5_flash,bwd,hard,B,3.741716,3.740862,2.1392746,16.803453
claude_3.7_sonnet:abc358_e:136:bwd,7.831839,9.467591,-7.831839,7.048862,factor_1,claude_3.7_sonnet:abc358_e:136:bwd,136,claude_3.7_sonnet:abc358_e:136,abc358_e,claude_3.7_sonnet,bwd,easy,B,3.6926715,3.691853,2.2315593,16.703623
gemini_2.5_flash:abc375_e:227:fwd,7.826034,9.461786,-7.826034,-1.1391232,factor_1,gemini_2.5_flash:abc375_e:227:fwd,808,gemini_2.5_flash:abc375_e:227,abc375_e,gemini_2.5_flash,fwd,hard,A,3.575027,3.5742953,2.4561672,16.467405
gemini_2.5_flash:3725:108:fwd,7.823418,9.45917,-7.823418,-1.1389259,factor_1,gemini_2.5_flash:3725:108:fwd,689,gemini_2.5_flash:3725:108,3725,gemini_2.5_flash,fwd,hard,A,3.57332,3.5725894,2.4568949,16.461445
claude_4_sonnet:arc194_e:281:fwd,7.819861,9.455613,-7.819861,-1.1382653,factor_1,claude_4_sonnet:arc194_e:281:fwd,2099,claude_4_sonnet:arc194_e:281,arc194_e,claude_4_sonnet,fwd,hard,A,3.5708227,3.570094,2.4582286,16.452997
gemini_2.5_flash:abc341_b:181:bwd,7.8092933,9.445045,-7.8092933,6.9337735,factor_1,gemini_2.5_flash:abc341_b:181:bwd,762,gemini_2.5_flash:abc341_b:181,abc341_b,gemini_2.5_flash,bwd,easy,B,3.6082718,3.6075153,2.3743153,16.515776
claude_4_opus:arc191_d:193:bwd,7.8082023,9.443954,-7.8082023,6.989403,factor_1,claude_4_opus:arc191_d:193:bwd,1811,claude_4_opus:arc191_d:193,arc191_d,claude_4_opus,bwd,hard,B,3.6498365,3.6490495,2.2918172,16.596092
qwen3_235b:3604:63:bwd,7.7748785,9.41063,-7.7748785,1.7168335,factor_1,qwen3_235b:3604:63:bwd,1463,qwen3_235b:3604:63,3604,qwen3_235b,bwd,hard,B,3.8167992,3.815891,1.9314837,16.889776
gemini_2.5_flash_lite:3771:162:fwd,7.682719,9.318471,-7.682719,-2.880121,factor_1,gemini_2.5_flash_lite:3771:162:fwd,1173,gemini_2.5_flash_lite:3771:162,3771,gemini_2.5_flash_lite,fwd,hard,A,5.4708314,5.4688625,-1.4004993,20.037441
claude_3.7_sonnet:abc375_d:149:fwd,7.68195,9.317702,-7.68195,-2.8905945,factor_1,claude_3.7_sonnet:abc375_d:149:fwd,149,claude_3.7_sonnet:abc375_d:149,abc375_d,claude_3.7_sonnet,fwd,easy,A,5.4683747,5.466407,-1.3964548,20.03186
gemini_2.5_flash_lite:abc322_d:212:bwd,7.6804256,9.316177,-7.6804256,3.4364035,factor_1,gemini_2.5_flash_lite:abc322_d:212:bwd,1223,gemini_2.5_flash_lite:abc322_d:212,abc322_d,gemini_2.5_flash_lite,bwd,hard,B,1.4823406,1.4839702,6.4075956,12.224759
gemini_2.5_flash_lite:3534:99:bwd,7.6628733,9.298625,-7.6628733,6.8131247,factor_1,gemini_2.5_flash_lite:3534:99:bwd,1110,gemini_2.5_flash_lite:3534:99,3534,gemini_2.5_flash_lite,bwd,hard,B,3.5102851,3.509602,2.4198046,16.177444
