item_id,question_id,split,ordering,difficulty,gold,n_correct,n_observed,qwen4_alone_correct,strong_wrong_count,claude_haiku_4_5,mistral_3b,mistral_8b,mistral_14b,qwen3_5_0_8b,qwen3_5_2b,qwen3_5_4b,qwen3_5_9b,qwen3_5_27b
gemini_2.5_flash:3394:44:bwd,3394,gemini_2.5_flash,bwd,hard,B,2,9,False,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
gemini_2.5_flash:abc361_f:207:bwd,abc361_f,gemini_2.5_flash,bwd,hard,B,2,9,False,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
gemini_2.5_flash:abc382_f:248:bwd,abc382_f,gemini_2.5_flash,bwd,hard,B,2,9,False,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
gemini_2.5_flash:abc374_f:404:bwd,abc374_f,gemini_2.5_flash,bwd,hard,B,2,9,False,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
gemini_2.5_flash_lite:abc322_d:212:bwd,abc322_d,gemini_2.5_flash_lite,bwd,hard,B,2,9,False,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
gemini_2.5_flash_lite:abc330_e:224:bwd,abc330_e,gemini_2.5_flash_lite,bwd,hard,B,2,9,False,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
gemini_2.5_flash_lite:abc338_c:237:bwd,abc338_c,gemini_2.5_flash_lite,bwd,hard,B,2,9,False,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
gemini_2.5_flash_lite:abc351_d:260:bwd,abc351_d,gemini_2.5_flash_lite,bwd,hard,B,2,9,False,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
gemini_2.5_flash_lite:abc358_d:271:bwd,abc358_d,gemini_2.5_flash_lite,bwd,hard,B,2,9,False,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
gemini_2.5_flash_lite:abc385_d:347:bwd,abc385_d,gemini_2.5_flash_lite,bwd,hard,B,2,9,False,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
qwen3_235b:3091:14:bwd,3091,qwen3_235b,bwd,hard,B,2,9,False,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
claude_4_opus:abc364_c:149:bwd,abc364_c,claude_4_opus,bwd,hard,B,2,9,False,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
claude_4_sonnet:abc346_e:191:bwd,abc346_e,claude_4_sonnet,bwd,hard,B,2,9,False,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
claude_4_sonnet:abc386_d:247:bwd,abc386_d,claude_4_sonnet,bwd,hard,B,2,9,False,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
claude_3.7_sonnet:abc363_d:142:bwd,abc363_d,claude_3.7_sonnet,bwd,medium,B,2,9,False,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
gemini_2.5_flash_lite:3535:100:bwd,3535,gemini_2.5_flash_lite,bwd,medium,B,2,9,False,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
qwen3_235b:3771:96:bwd,3771,qwen3_235b,bwd,medium,B,2,9,False,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
gemini_2.5_flash_lite:abc375_c:312:bwd,abc375_c,gemini_2.5_flash_lite,bwd,hard,B,3,9,False,3,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
gemini_2.5_flash:3649:357:bwd,3649,gemini_2.5_flash,bwd,easy,B,3,9,False,3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
gemini_2.5_flash:abc386_e:259:bwd,abc386_e,gemini_2.5_flash,bwd,hard,B,4,9,False,3,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
